,index,國中,大專,高中
0,V,6 (2.63%) (0.76%),15 (5.25%) (1.89%),9 (3.22%) (1.14%)
1,"AUX,V",24 (10.49%) (3.02%),17 (5.95%) (2.14%),22 (7.86%) (2.77%)
2,"AUX1,AUX2,V",6 (2.63%) (0.76%),2 (0.7%) (0.26%),3 (1.08%) (0.38%)
3,VV,6 (2.63%) (0.76%),10 (3.5%) (1.26%),8 (2.86%) (1.01%)
4,"AUX,VV",6 (2.63%) (0.76%),4 (1.4%) (0.51%),9 (3.22%) (1.14%)
5,VE,10 (4.37%) (1.26%),12 (4.2%) (1.51%),5 (1.79%) (0.63%)
6,"AUX,VE",31 (13.54%) (3.9%),26 (9.1%) (3.28%),28 (10.0%) (3.53%)
7,"AUX1,AUX2,VE",4 (1.75%) (0.51%),1 (0.35%) (0.13%),7 (2.5%) (0.89%)
8,VVE,4 (1.75%) (0.51%),7 (2.45%) (0.89%),5 (1.79%) (0.63%)
9,"AUX,VVE",9 (3.94%) (1.14%),4 (1.4%) (0.51%),13 (4.65%) (1.64%)
10,VES,5 (2.19%) (0.63%),2 (0.7%) (0.26%),2 (0.72%) (0.26%)
11,"AUX,VES",5 (2.19%) (0.63%),5 (1.75%) (0.63%),12 (4.29%) (1.51%)
12,VS,20 (8.74%) (2.52%),30 (10.49%) (3.78%),20 (7.15%) (2.52%)
13,"AUX,VS",22 (9.61%) (2.77%),19 (6.65%) (2.39%),21 (7.5%) (2.65%)
14,"AUX1AUX2,VS",2 (0.88%) (0.26%),6 (2.1%) (0.76%),5 (1.79%) (0.63%)
15,VSE,5 (2.19%) (0.63%),2 (0.7%) (0.26%),1 (0.36%) (0.13%)
16,VVS,8 (3.5%) (1.01%),8 (2.8%) (1.01%),10 (3.58%) (1.26%)
17,"AUX,VVS",3 (1.32%) (0.38%),4 (1.4%) (0.51%),3 (1.08%) (0.38%)
18,VP,8 (3.5%) (1.01%),21 (7.35%) (2.65%),9 (3.22%) (1.14%)
19,VPc,1 (0.44%) (0.13%),3 (1.05%) (0.38%),4 (1.43%) (0.51%)
20,"AUX,VPc",4 (1.75%) (0.51%),4 (1.4%) (0.51%),8 (2.86%) (1.01%)
21,VVP,0 (0.0%) (0.0%),1 (0.35%) (0.13%),2 (0.72%) (0.26%)
22,"AUX,VVP",1 (0.44%) (0.13%),0 (0.0%) (0.0%),0 (0.0%) (0.0%)
23,VAP,1 (0.44%) (0.13%),7 (2.45%) (0.89%),8 (2.86%) (1.01%)
24,VAPc,1 (0.44%) (0.13%),4 (1.4%) (0.51%),4 (1.43%) (0.51%)
25,"AUX,VAP",1 (0.44%) (0.13%),1 (0.35%) (0.13%),1 (0.36%) (0.13%)
26,VPA,1 (0.44%) (0.13%),2 (0.7%) (0.26%),1 (0.36%) (0.13%)
27,"AUX1,AUX2,VPA",0 (0.0%) (0.0%),0 (0.0%) (0.0%),1 (0.36%) (0.13%)
28,"AUX,PAV",1 (0.44%) (0.13%),4 (1.4%) (0.51%),1 (0.36%) (0.13%)
29,"AUX,PVA",1 (0.44%) (0.13%),2 (0.7%) (0.26%),1 (0.36%) (0.13%)
30,"AUX,AV",3 (1.32%) (0.38%),7 (2.45%) (0.89%),8 (2.86%) (1.01%)
31,"AUX,AVE",2 (0.88%) (0.26%),1 (0.35%) (0.13%),2 (0.72%) (0.26%)
32,AVP,1 (0.44%) (0.13%),0 (0.0%) (0.0%),0 (0.0%) (0.0%)
33,"AUX,AVP",14 (6.12%) (1.77%),12 (4.2%) (1.51%),19 (6.79%) (2.39%)
34,"NEG,V",1 (0.44%) (0.13%),4 (1.4%) (0.51%),6 (2.15%) (0.76%)
35,"NEG,VV",0 (0.0%) (0.0%),1 (0.35%) (0.13%),3 (1.08%) (0.38%)
36,"NEG,VE",1 (0.44%) (0.13%),3 (1.05%) (0.38%),1 (0.36%) (0.13%)
37,"NEG,VVE",1 (0.44%) (0.13%),1 (0.35%) (0.13%),1 (0.36%) (0.13%)
38,"NEG,VAP",0 (0.0%) (0.0%),1 (0.35%) (0.13%),1 (0.36%) (0.13%)
39,"NEG,VP",1 (0.44%) (0.13%),3 (1.05%) (0.38%),2 (0.72%) (0.26%)
40,"NEG,VPc",0 (0.0%) (0.0%),4 (1.4%) (0.51%),6 (2.15%) (0.76%)
41,"NEG,AV",2 (0.88%) (0.26%),13 (4.55%) (1.64%),2 (0.72%) (0.26%)
42,"NGA,AVV",3 (1.32%) (0.38%),2 (0.7%) (0.26%),1 (0.36%) (0.13%)
43,"NEG,AVP",3 (1.32%) (0.38%),5 (1.75%) (0.63%),3 (1.08%) (0.38%)
44,SV,0 (0.0%) (0.0%),2 (0.7%) (0.26%),1 (0.36%) (0.13%)
45,SVE,1 (0.44%) (0.13%),4 (1.4%) (0.51%),1 (0.36%) (0.13%)
