,index,五峰鄉,尖石前山,尖石後山
0,V(不及動詞),44 (19.47%) (5.54%),36 (15.46%) (4.53%),67 (19.95%) (8.43%)
1,VE(不及動詞+延伸受事),46 (20.36%) (5.79%),52 (22.32%) (6.55%),68 (20.24%) (8.56%)
2,VES(不及動+延伸受事+主詞),11 (4.87%) (1.39%),9 (3.87%) (1.14%),11 (3.28%) (1.39%)
3,VS(不及動詞+主詞),64 (28.32%) (8.06%),53 (22.75%) (6.67%),72 (21.43%) (9.06%)
4,VP(及物動詞+受事者),24 (10.62%) (3.02%),41 (17.6%) (5.16%),44 (13.1%) (5.54%)
5,AV(主詞+及物動),17 (7.53%) (2.14%),17 (7.3%) (2.14%),35 (10.42%) (4.41%)
6,NEG V(否定+不及物動詞),5 (2.22%) (0.63%),6 (2.58%) (0.76%),12 (3.58%) (1.51%)
7,NEG VP(否定+及物動+受詞),3 (1.33%) (0.38%),6 (2.58%) (0.76%),9 (2.68%) (1.14%)
8,NEG AV(否定+主+及物動詞),8 (3.54%) (1.01%),10 (4.3%) (1.26%),16 (4.77%) (2.02%)
9,SV(主詞+不及物動詞),4 (1.77%) (0.51%),3 (1.29%) (0.38%),2 (0.6%) (0.26%)
