,index,公教,家管,工,農
0,V(不及動詞),30 (13.77%) (3.78%),30 (18.75%) (3.78%),10 (14.93%) (1.26%),77 (22.0%) (9.69%)
1,VE(不及動詞+延伸受事),39 (17.89%) (4.91%),40 (25.0%) (5.04%),12 (17.92%) (1.51%),75 (21.43%) (9.44%)
2,VES(不及動+延伸受事+主詞),7 (3.22%) (0.89%),6 (3.75%) (0.76%),2 (2.99%) (0.26%),16 (4.58%) (2.02%)
3,VS(不及動詞+主詞),52 (23.86%) (6.55%),36 (22.5%) (4.53%),20 (29.86%) (2.52%),81 (23.15%) (10.19%)
4,VP(及物動詞+受事者),45 (20.65%) (5.67%),21 (13.13%) (2.65%),6 (8.96%) (0.76%),37 (10.58%) (4.66%)
5,AV(主詞+及物動),18 (8.26%) (2.27%),13 (8.13%) (1.64%),3 (4.48%) (0.38%),35 (10.0%) (4.41%)
6,NEG V(否定+不及物動詞),5 (2.3%) (0.63%),5 (3.13%) (0.63%),4 (5.98%) (0.51%),9 (2.58%) (1.14%)
7,NEG VP(否定+及物動+受詞),4 (1.84%) (0.51%),4 (2.5%) (0.51%),4 (5.98%) (0.51%),6 (1.72%) (0.76%)
8,NEG AV(否定+主+及物動詞),12 (5.51%) (1.51%),4 (2.5%) (0.51%),5 (7.47%) (0.63%),13 (3.72%) (1.64%)
9,SV(主詞+不及物動詞),6 (2.76%) (0.76%),1 (0.63%) (0.13%),1 (1.5%) (0.13%),1 (0.29%) (0.13%)
